Code,Title,Link,CommitteeAbr,CommitteeFull,Rapporteur PartyAbr,Rapporteur PartyFull,Rapporteur,Commission DG,Commissioner,Date Committee Draft Report,Date Committee report tabled for plenaryDate Text adopted by Parliament,Code Text adopted by Parliament,Link Text adopted by Parliament,Link Summary
2006/2207(INI),Competition: damages actions for breach of the EC antitrust rules. Green paper ,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2006/2207(INI)&l=e,ECON,Economic and Monetary Affairs,PSE,Socialist Group in the European Parliament,SÁNCHEZ PRESEDO Antolín,Competition,KROES  Neelie,24/10/2006,10/04/2007,25/04/2007,T6-0152/2007,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P6-TA-2007-152,http://www.europarl.europa.eu//oeil/popups/summary.do?id=994642&t=d&l=en
2006/2205(INI),The future of the European Union's own resources,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2006/2205(INI)&l=e,BUDG,Budgets,PPE-DE,European People's Party (Christian Democrats) and European Democrats,LAMASSOURE Alain,Budget,GRYBAUSKAITĖ  Dalia,10/01/2007,14/03/2007,29/03/2007,T6-0098/2007,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P6-TA-2007-98,http://www.europarl.europa.eu//oeil/popups/summary.do?id=992105&t=d&l=en
2006/2210(INI),Thematic strategy on the sustainable use of natural resources,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2006/2210(INI)&l=e,ENVI,"Environment, Public Health and Food Safety",GUE/NGL,European United Left/Nordic Green Left,LIOTARD Kartika Tamara,Environment,DIMAS  Stavros,07/11/2006,05/03/2007,25/04/2007,T6-0154/2007,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P6-TA-2007-154,http://www.europarl.europa.eu//oeil/popups/summary.do?id=994646&t=d&l=en
2006/2214(INI),"Women's role in the social, economical and political life in Turkey ",http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2006/2214(INI)&l=e,FEMM,Women's Rights and Gender Equality,PSE,Socialist Group in the European Parliament,BOZKURT Emine,Enlargement,REHN  Olli,26/10/2006,11/01/2007,13/02/2007,T6-0031/2007,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P6-TA-2007-31,http://www.europarl.europa.eu//oeil/popups/summary.do?id=985604&t=d&l=en
2006/2213(INI),Railway transport: implementation of the first railway package,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2006/2213(INI)&l=e,TRAN,Transport and Tourism,Verts/ALE,Greens/European Free Alliance,CRAMER Michael,Energy and Transport,BARROT  Jacques,07/02/2007,11/06/2007,12/07/2007,T6-0344/2007,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P6-TA-2007-344,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1003201&t=d&l=en
2006/2212(INI),Towards a European policy on radio spectrum,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2006/2212(INI)&l=e,ITRE,"Industry, Research and Energy",ALDE,Alliance of Liberals and Democrats for Europe,HALL Fiona,"Communications Networks, Content and Technology",REDING  Viviane,13/10/2006,18/12/2006,14/02/2007,T6-0041/2007,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P6-TA-2007-41,http://www.europarl.europa.eu//oeil/popups/summary.do?id=985822&t=d&l=en
2006/2175(INI),Thematic Strategy on the recycling of waste ,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2006/2175(INI)&l=e,ENVI,"Environment, Public Health and Food Safety",IND/DEM,Independence and democracy,BLOKLAND Johannes,Environment,DIMAS  Stavros,22/06/2006,19/12/2006,13/02/2007,T6-0030/2007,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P6-TA-2007-30,http://www.europarl.europa.eu//oeil/popups/summary.do?id=985601&t=d&l=en
2006/2176(INI),The role and effectiveness of cohesion policy in reducing disparities in the poorest regions of the European Union,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2006/2176(INI)&l=e,REGI,Regional Development,PSE,Socialist Group in the European Parliament,GERINGER DE OEDENBERG Lidia Joanna,Regional Policy,HÜBNER  Danuta,22/03/2007,18/06/2007,12/07/2007,T6-0356/2007,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P6-TA-2007-356,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1003263&t=d&l=en
2006/2173(INI),Construction of the Euro-Med Free Trade Area,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2006/2173(INI)&l=e,INTA,International Trade,PSE,Socialist Group in the European Parliament,ARIF Kader,Trade,MANDELSON  Peter,31/10/2006,21/12/2006,15/03/2007,T6-0076/2007,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P6-TA-2007-76,http://www.europarl.europa.eu//oeil/popups/summary.do?id=989537&t=d&l=en
2006/2172(INI),Reform in the Arab world: what strategy should the EU follow?,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2006/2172(INI)&l=e,AFET,Foreign Affairs,PSE,Socialist Group in the European Parliament,ROCARD Michel,External Relations,FERRERO-WALDNER  Benita,19/01/2007,03/04/2007,10/05/2007,T6-0179/2007,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P6-TA-2007-179,http://www.europarl.europa.eu//oeil/popups/summary.do?id=996125&t=d&l=en
2006/2171(INI),A Baltic Sea Strategy for the Northern Dimension ,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2006/2171(INI)&l=e,AFET,Foreign Affairs,PPE-DE,European People's Party (Christian Democrats) and European Democrats,STUBB Alexander,External Relations,FERRERO-WALDNER  Benita,07/08/2006,18/10/2006,16/11/2006,T6-0494/2006,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P6-TA-2006-494,http://www.europarl.europa.eu//oeil/popups/summary.do?id=975448&t=d&l=en
2006/2181(INI),Impact and consequences of structural policies on EU cohesion,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2006/2181(INI)&l=e,REGI,Regional Development,PSE,Socialist Group in the European Parliament,PLEGUEZUELOS AGUILAR Francisca,Regional Policy,HÜBNER  Danuta,05/02/2007,19/04/2007,23/05/2007,T6-0202/2007,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P6-TA-2007-202,http://www.europarl.europa.eu//oeil/popups/summary.do?id=997496&t=d&l=en
